ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n331-k15.vrp,31103,909,31105,1001,31103,885,31103,931,31103,886,31103,988,31105,833,31105,950,31103,914,31103,894
X-n336-k84.vrp,139557,760,139613,610,139393,679,139660,666,139586,523,139780,765,139521,665,139607,593,139761,588,139480,578
X-n344-k43.vrp,42163,567,42224,509,42263,559,42168,647,42181,519,42133,513,42167,608,42197,500,42231,582,42268,542
X-n351-k40.vrp,25983,531,25998,503,26018,576,26023,606,26007,534,25989,491,26067,697,25966,475,26015,643,26004,618
X-n359-k29.vrp,51625,866,51587,748,51634,683,51649,677,51701,677,51648,717,51578,756,51661,697,51552,759,51670,678
X-n367-k17.vrp,22814,748,22814,690,22814,692,22820,726,22814,700,22814,662,22820,711,22820,718,22814,710,22828,746
X-n376-k94.vrp,147718,1943,147715,1973,147717,1676,147717,1826,147745,2173,147713,2002,147718,1962,147713,1748,147713,1685,147713,1956
X-n384-k52.vrp,66150,818,66170,881,66075,813,66170,770,66078,789,66178,947,66049,681,66175,924,66174,888,66168,839
X-n393-k38.vrp,38301,666,38292,604,38301,626,38365,871,38301,625,38296,558,38301,639,38301,601,38301,729,38301,636
X-n401-k29.vrp,66281,814,66230,776,66280,999,66244,799,66238,852,66281,950,66229,795,66266,852,66231,868,66243,877
X-n411-k19.vrp,19780,761,19831,980,19780,847,19774,753,19776,764,19766,749,19762,723,19789,855,19780,772,19776,745
X-n420-k130.vrp,107963,547,108007,527,107898,486,107930,443,108090,601,107918,483,107890,558,107930,518,107920,450,107976,499
X-n429-k61.vrp,65603,617,65578,671,65633,748,65565,665,65525,682,65674,658,65687,698,65563,572,65544,743,65631,688
X-n439-k37.vrp,36395,752,36395,775,36395,782,36395,771,36396,785,36395,736,36395,756,36395,750,36395,804,36395,758
X-n449-k29.vrp,55393,661,55384,600,55456,743,55559,770,55366,602,55424,698,55397,614,55482,545,55530,604,55456,678
X-n459-k26.vrp,24221,693,24216,778,24182,678,24169,755,24206,652,24236,779,24240,839,24177,703,24171,695,24207,777
X-n469-k138.vrp,223044,564,222921,773,223573,618,223167,665,223648,638,223021,744,223609,631,223630,719,223352,679,222968,663
X-n480-k70.vrp,89649,796,89708,666,89699,728,89591,672,89722,699,89713,804,89573,731,89494,663,89629,795,89686,905
X-n491-k59.vrp,66694,580,66747,615,66616,576,66799,599,66809,553,66701,598,66590,594,66769,766,66723,654,66711,570
X-n502-k39.vrp,69249,1180,69240,1085,69242,1080,69227,1037,69229,1092,69256,1065,69264,1076,69272,1099,69230,1062,69240,1118
X-n513-k21.vrp,24201,756,24242,829,24224,856,24201,710,24252,773,24202,784,24269,694,24201,721,24299,753,24230,740
X-n524-k153.vrp,155002,675,154876,629,154982,636,154778,613,155033,597,154798,606,154655,572,155196,667,154911,584,155182,606
X-n536-k96.vrp,95578,722,95493,717,95528,604,95605,745,95608,675,95593,719,95565,697,95501,752,95526,669,95603,781
X-n548-k50.vrp,86749,798,86707,788,86752,850,86709,797,86704,887,86775,813,86707,849,86807,879,86734,784,86731,836
X-n561-k42.vrp,42870,648,42865,568,42815,601,42870,550,42801,502,42938,582,42851,587,42786,534,42838,573,42845,639
X-n573-k30.vrp,50798,814,50868,822,50776,760,50911,872,50821,797,50824,816,50758,764,50917,865,50765,801,50760,776
X-n586-k159.vrp,191106,800,191048,683,191371,943,190938,827,191187,704,190823,667,191108,972,190863,789,191134,740,190760,770
X-n599-k92.vrp,108715,750,108836,799,108711,843,108762,782,108768,808,108816,830,108717,764,108886,821,108716,890,108759,750
X-n613-k62.vrp,59920,506,59830,504,59927,512,59732,480,59718,476,59711,492,59781,515,59777,498,59849,519,59650,498
X-n627-k43.vrp,62346,828,62325,729,62292,792,62367,802,62328,803,62217,734,62312,835,62281,813,62344,802,62288,821
X-n641-k35.vrp,63839,886,63871,974,63811,812,63848,784,63899,847,63838,804,63891,768,63831,793,63839,807,63892,813
X-n655-k131.vrp,106811,1429,106780,1456,106813,1460,106819,1468,106780,1505,106815,1471,106808,1454,106816,1481,106811,1515,106812,1550
X-n670-k130.vrp,148307,657,147582,681,147997,646,147285,710,147754,660,147411,683,147604,693,147871,573,147780,665,147866,663
X-n685-k75.vrp,68481,600,68512,620,68587,621,68420,563,68454,572,68471,569,68598,624,68514,580,68591,608,68532,569
X-n701-k44.vrp,82282,774,82104,618,82139,637,82096,631,82136,700,82140,635,82219,667,82277,665,82044,704,82123,685
