ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n336-k84.vrp,139883,61,139909,66,139883,67,140361,79,139799,72,140072,69,139941,55,139887,68,140091,63,140074,66
X-n344-k43.vrp,42247,58,42273,59,42295,59,42346,70,42194,55,42270,54,42288,60,42307,62,42328,59,42326,63
X-n351-k40.vrp,26092,79,26029,62,25993,50,26077,60,25992,52,26000,55,26071,60,26031,58,26036,56,26025,61
X-n359-k29.vrp,51858,73,51700,64,51659,63,51753,63,51837,63,51826,63,51674,63,51720,60,51733,65,51721,58
X-n367-k17.vrp,22850,68,22858,80,22858,70,22814,63,22842,66,22864,63,22896,69,22862,66,22914,74,22824,64
X-n376-k94.vrp,147745,193,147718,161,147731,178,147717,187,147713,170,147718,197,147750,166,147718,183,147750,183,147718,180
X-n384-k52.vrp,66205,69,66163,84,66189,71,66186,70,66301,80,66221,76,66083,64,66203,71,66402,80,66177,78
X-n393-k38.vrp,38402,60,38331,51,38323,64,38480,58,38384,57,38291,52,38397,60,38442,60,38307,65,38321,63
X-n401-k29.vrp,66309,90,66313,92,66306,72,66326,81,66354,91,66399,94,66228,76,66411,84,66290,82,66355,86
X-n411-k19.vrp,19765,75,19782,74,19783,70,19880,74,19828,76,19767,68,19905,72,19807,78,19798,76,19796,76
X-n420-k130.vrp,108137,61,107948,47,108093,54,108075,65,108030,46,107941,47,108003,51,107994,58,108083,50,108062,49
X-n429-k61.vrp,65720,64,65763,59,65794,71,65630,67,65707,56,65717,62,65646,61,65694,58,65655,63,65775,57
X-n439-k37.vrp,36395,74,36444,68,36479,72,36395,67,36395,69,36442,90,36396,68,36444,69,36445,67,36432,68
X-n449-k29.vrp,55605,62,55644,58,55531,53,55588,60,55546,65,55536,52,55724,66,55461,54,55598,66,55630,72
X-n459-k26.vrp,24224,67,24223,62,24220,59,24228,65,24219,73,24199,61,24281,76,24340,68,24192,67,24247,73
X-n469-k138.vrp,224305,63,224490,74,224731,63,224360,87,224398,63,224393,59,224246,66,224562,55,224103,57,223890,70
X-n480-k70.vrp,89782,72,89853,82,89852,68,89880,70,89823,69,89701,69,89774,70,89662,67,89794,78,89883,67
X-n491-k59.vrp,66863,60,66767,64,66941,66,66670,63,66901,62,66943,61,66813,58,66861,65,66778,61,66793,63
X-n502-k39.vrp,69245,102,69285,107,69270,104,69270,102,69243,103,69281,106,69228,102,69249,109,69241,108,69265,110
X-n513-k21.vrp,24247,71,24273,69,24267,71,24288,73,24294,78,24315,79,24367,76,24237,73,24247,71,24360,68
X-n524-k153.vrp,155279,59,155312,61,155259,59,155435,61,155377,64,155218,61,155238,58,155501,63,155375,73,155004,58
X-n536-k96.vrp,95656,69,95735,72,95744,70,95660,70,95686,69,95692,75,95695,65,95677,73,95676,71,95505,63
X-n548-k50.vrp,86821,83,86824,75,86867,85,86748,73,86777,78,86805,80,86800,84,86825,79,86803,82,86797,80
X-n561-k42.vrp,42843,56,42900,57,42828,53,42988,58,42961,58,42889,60,42957,54,42909,56,42849,56,42980,60
X-n573-k30.vrp,50819,77,50827,78,50796,77,50863,82,50929,80,50885,79,50931,81,50924,83,50814,75,50797,76
X-n586-k159.vrp,191701,86,191430,80,191506,70,191369,67,192009,73,191609,76,191476,75,191511,71,191378,78,191341,68
X-n599-k92.vrp,109043,74,109185,81,109014,66,109146,72,109018,78,108851,67,109198,72,109156,78,108923,71,108885,64
X-n613-k62.vrp,59878,50,59857,47,59945,55,59952,48,59773,50,59985,52,60011,51,59752,50,60021,53,59951,51
X-n627-k43.vrp,62299,69,62335,74,62474,83,62441,77,62375,76,62489,74,62391,75,62377,78,62308,78,62410,74
X-n641-k35.vrp,63913,75,63941,77,63907,92,63845,70,64042,75,64068,74,63782,78,64021,86,63947,74,64057,88
X-n655-k131.vrp,106812,135,106806,143,106818,140,106829,153,106828,138,106804,153,106843,127,106837,147,106811,136,106827,139
X-n670-k130.vrp,148043,62,147539,71,148266,58,147286,69,148105,67,147425,67,147605,63,148809,62,148608,64,148297,60
X-n685-k75.vrp,68620,66,68543,62,68655,64,68662,62,68603,61,68647,66,68694,66,68922,61,68526,60,68668,63
