ID,z0,t0,z1,t1,z2,t2,z3,t3,z4,t4,z5,t5,z6,t6,z7,t7,z8,t8,z9,t9
X-n336-k84.vrp,140106,64,139786,52,139979,50,139945,60,139975,63,139865,57,139893,53,139932,70,139795,49,139810,52
X-n344-k43.vrp,42270,60,42240,58,42243,67,42242,55,42353,72,42293,58,42238,59,42147,54,42278,68,42241,60
X-n351-k40.vrp,26085,74,26009,53,26024,55,26032,57,26020,55,26052,60,26080,65,26083,58,26053,56,26063,59
X-n359-k29.vrp,51659,60,51593,65,51731,59,51749,53,51836,63,51676,65,51937,61,51784,58,51655,67,51694,64
X-n367-k17.vrp,22831,65,22822,69,22814,66,22927,77,22849,72,22860,82,22843,70,22833,66,22820,67,22826,65
X-n376-k94.vrp,147713,160,147718,174,147717,167,147718,161,147718,169,147745,187,147722,162,147717,173,147745,189,147722,192
X-n384-k52.vrp,66279,61,66221,80,66144,77,66230,78,66141,64,66231,77,66103,61,66223,82,66196,77,66275,62
X-n393-k38.vrp,38446,68,38313,64,38346,69,38345,59,38305,62,38313,69,38355,69,38305,65,38297,64,38491,63
X-n401-k29.vrp,66272,80,66349,84,66350,79,66291,77,66356,124,66304,79,66277,81,66297,81,66342,75,66363,100
X-n411-k19.vrp,19794,85,19763,75,19799,77,19777,73,19801,79,19822,75,19789,81,19784,80,19779,79,19819,70
X-n420-k130.vrp,108143,54,108094,54,108101,53,108104,52,108184,55,107928,46,107951,46,108132,62,108087,53,108126,58
X-n429-k61.vrp,65602,60,65761,55,65647,55,65697,58,65639,59,65704,58,65627,65,65708,70,65912,64,65867,68
X-n439-k37.vrp,36401,85,36402,77,36395,84,36480,92,36429,76,36441,76,36429,77,36409,76,36396,81,36395,78
X-n449-k29.vrp,55456,59,55449,61,55687,59,55484,61,55702,58,55398,65,55743,68,55607,70,55444,70,55657,69
X-n459-k26.vrp,24167,66,24209,69,24185,67,24249,72,24188,64,24229,73,24198,70,24235,70,24181,67,24181,68
X-n469-k138.vrp,224485,77,223896,65,224387,81,223859,65,224546,75,223911,66,224225,72,224250,74,223514,69,224191,82
X-n480-k70.vrp,89662,71,89745,69,89711,65,89688,82,89781,74,89760,77,89708,63,89834,82,89778,67,89664,70
X-n491-k59.vrp,66741,61,66962,70,66975,64,66814,58,66827,65,66806,59,66792,65,66782,60,66859,56,66798,57
X-n502-k39.vrp,69261,119,69260,132,69284,112,69273,117,69266,122,69292,121,69246,125,69263,115,69266,122,69233,114
X-n513-k21.vrp,24286,80,24256,83,24257,80,24288,77,24292,80,24258,78,24201,82,24240,82,24311,91,24240,84
X-n524-k153.vrp,155242,69,154994,70,154967,64,154886,62,155306,69,156094,73,155065,65,155597,70,155117,62,155527,69
X-n536-k96.vrp,95713,70,95685,72,95563,69,95656,67,95721,71,95692,66,95646,72,95636,68,95575,70,95634,71
X-n548-k50.vrp,86794,89,86828,100,86745,90,86759,90,86786,93,86704,93,86805,88,86756,95,86894,97,86706,88
X-n561-k42.vrp,42854,58,42820,59,42980,56,42795,58,42851,61,42883,60,42955,56,42848,59,42922,63,42925,61
